coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,tidInterpreted,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
69580,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:f49e7b01-e8a1-434e-be28-33ee37a75df6,"2021-11-02 14:19:26"
69580,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:f3384296-f207-4852-84fd-70b8f17d05da,"2021-11-02 14:19:26"
69590,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:15522f8a-6f4e-495e-a8bc-dad071977d2c,"2021-11-02 14:19:26"
69590,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:e74672b9-54c4-4cba-8ea1-b18b806656d4,"2021-11-02 14:19:26"
69540,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:12c3cd3e-71c9-42cf-a8cf-c87da74191a7,"2021-11-02 14:19:26"
69540,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:a71eb311-5965-4ca8-82cb-3f352469c72d,"2021-11-02 14:19:26"
69547,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:40345090-d244-4044-9863-5bca2fa4159a,"2021-11-02 14:19:26"
69547,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:b5fef565-5511-49d7-a7c0-44f3f65da015,"2021-11-02 14:19:26"
69578,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:f0c86387-cd7c-404c-b6f5-fcbd88d4b256,"2021-11-02 14:19:26"
69578,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:903935d4-e71c-44aa-aa68-d333c6ec638b,"2021-11-02 14:19:26"
69584,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:afab4189-0fa5-41f5-aae1-6bbeac7ff7e0,"2021-11-02 14:19:26"
69584,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:9c0b4abb-4e18-4f44-aa73-aeecd9a016db,"2021-11-02 14:19:26"
69564,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:3345ce8c-c617-4251-9940-9202f908b0c6,"2021-11-02 14:19:26"
69564,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:52772d65-e6c6-47f2-83e2-630b52b60dee,"2021-11-02 14:19:26"
